question,answer
"72, 3077, 2646, 6755, 1461, 2019, 4587, 477, 9901, 499, 13","383, 10578, 1093, 264, 1972, 54524, 13"
"383, 10578, 1093, 264, 1972, 54524, 13","2201, 832, 520, 990, 13452, 1461, 13"
"2201, 832, 520, 990, 13452, 1461, 13","4919, 956, 499, 1934, 1461, 311, 813, 38419, 30"
"4919, 956, 499, 1934, 1461, 311, 813, 38419, 30","1073, 3388, 539, 13, 422, 602, 656, 430, 11, 602, 3358, 9229, 856, 2683, 13"
"1073, 3388, 539, 13, 422, 602, 656, 430, 11, 602, 3358, 9229, 856, 2683, 13","9891, 11, 814, 1541, 956, 1093, 12544, 20481, 477, 4684, 21211, 13"
"9891, 11, 814, 1541, 956, 1093, 12544, 20481, 477, 4684, 21211, 13","72, 649, 956, 17257, 11, 1606, 602, 2846, 3339, 264, 1695, 16498, 13"
"72, 649, 956, 17257, 11, 1606, 602, 2846, 3339, 264, 1695, 16498, 13","9514, 13434, 956, 5268, 3300, 927, 23871, 13"
"12840, 527, 584, 2133, 311, 656, 30","9274, 1148, 30"
"9274, 1148, 30","9274, 9455, 264, 2683, 369, 757, 13"
"9274, 9455, 264, 2683, 369, 757, 13","9514, 1541, 956, 1205, 264, 2683, 13, 602, 1304, 3403, 3300, 369, 2225, 315, 603, 13"
"9514, 1541, 956, 1205, 264, 2683, 13, 602, 1304, 3403, 3300, 369, 2225, 315, 603, 13","9210, 3250, 956, 5030, 13, 602, 1541, 956, 1390, 311, 2503, 2212, 13"
"9210, 3250, 956, 5030, 13, 602, 1541, 956, 1390, 311, 2503, 2212, 13","94317, 11, 1148, 3169, 315, 2683, 656, 499, 1390, 30"
"94317, 11, 1148, 3169, 315, 2683, 656, 499, 1390, 30","72, 2846, 539, 2771, 13"
"72, 2846, 539, 2771, 13","9336, 11, 499, 1288, 656, 2555, 430, 499, 4774, 13"
"9336, 11, 499, 1288, 656, 2555, 430, 499, 4774, 13","72, 4774, 11486, 13, 602, 574, 9405, 311, 4662, 13"
"72, 4774, 11486, 13, 602, 574, 9405, 311, 4662, 13","94317, 11, 1148, 656, 499, 1390, 311, 4662, 30"
"94317, 11, 1148, 656, 499, 1390, 311, 4662, 30","66, 44375, 668, 3177, 388, 13, 602, 3358, 1304, 264, 33415, 13"
"66, 44375, 668, 3177, 388, 13, 602, 3358, 1304, 264, 33415, 13","8248, 499, 12491, 34576, 323, 499, 12491, 20149, 0"
"64, 502, 9689, 374, 3411, 369, 7487, 13","9891, 11, 602, 5602, 433, 389, 279, 11333, 3754, 13"
"9891, 11, 602, 5602, 433, 389, 279, 11333, 3754, 13","20670, 1205, 220, 3101, 502, 7487, 13"
"20670, 1205, 220, 3101, 502, 7487, 13","438, 220, 19, 11, 931, 1274, 8710, 709, 13"
"438, 220, 19, 11, 931, 1274, 8710, 709, 13","708, 1690, 1274, 527, 704, 315, 990, 13"
"708, 1690, 1274, 527, 704, 315, 990, 13","72, 2103, 617, 856, 2683, 11, 9901, 39526, 13"
"72, 2103, 617, 856, 2683, 11, 9901, 39526, 13","708, 656, 602, 11, 719, 602, 2846, 18290, 13"
"708, 656, 602, 11, 719, 602, 2846, 18290, 13","2727, 2288, 13, 1070, 527, 912, 36755, 13"
"2727, 2288, 13, 1070, 527, 912, 36755, 13","333, 499, 9229, 701, 2683, 11, 499, 649, 3351, 304, 449, 757, 13"
"333, 499, 9229, 701, 2683, 11, 499, 649, 3351, 304, 449, 757, 13","2319, 11, 9901, 499, 13, 430, 596, 1633, 6555, 315, 499, 13"
"2319, 11, 9901, 499, 13, 430, 596, 1633, 6555, 315, 499, 13","9514, 1053, 656, 279, 1890, 369, 757, 13"
"9514, 1053, 656, 279, 1890, 369, 757, 13","1073, 3388, 13, 1148, 527, 4885, 369, 30"
"72, 1781, 602, 1550, 2555, 1972, 18754, 13","12840, 1550, 499, 656, 30"
"12840, 1550, 499, 656, 30","72, 11021, 1063, 5708, 13"
"72, 11021, 1063, 5708, 13","30115, 2664, 50631, 5708, 13"
"30115, 2664, 50631, 5708, 13","72, 11021, 433, 389, 264, 305, 3265, 13"
"72, 11021, 433, 389, 264, 305, 3265, 13","9514, 3287, 956, 1373, 922, 279, 2883, 1176, 30"
"9514, 3287, 956, 1373, 922, 279, 2883, 1176, 30","72, 3287, 956, 617, 311, 13, 433, 596, 1027, 304, 2626, 369, 220, 1399, 1667, 13"
"72, 3287, 956, 617, 311, 13, 433, 596, 1027, 304, 2626, 369, 220, 1399, 1667, 13","708, 1148, 596, 279, 3575, 30"
"708, 1148, 596, 279, 3575, 30","72, 1511, 682, 856, 19523, 389, 420, 832, 2883, 13"
"72, 1511, 682, 856, 19523, 389, 420, 832, 2883, 13","9514, 2231, 682, 701, 19335, 1139, 832, 14351, 13"
"9514, 2231, 682, 701, 19335, 1139, 832, 14351, 13","333, 279, 2883, 5900, 704, 315, 2626, 11, 602, 3358, 617, 4400, 13"
"333, 279, 2883, 5900, 704, 315, 2626, 11, 602, 3358, 617, 4400, 13","2319, 11, 499, 3358, 617, 2555, 33895, 71480, 3358, 617, 264, 18228, 499, 3358, 2646, 10894, 0"
"72, 574, 2133, 311, 387, 264, 10896, 13","12840, 7077, 311, 701, 6787, 30"
"12840, 7077, 311, 701, 6787, 30","72, 2751, 264, 294, 304, 7926, 30903, 13"
"72, 2751, 264, 294, 304, 7926, 30903, 13","9336, 11, 264, 294, 374, 2731, 1109, 459, 282, 13"
"9336, 11, 264, 294, 374, 2731, 1109, 459, 282, 13","64, 26370, 9087, 757, 636, 279, 294, 0"
"64, 26370, 9087, 757, 636, 279, 294, 0","708, 11, 499, 3287, 956, 3719, 264, 10896, 13"
"708, 11, 499, 3287, 956, 3719, 264, 10896, 13","438, 1457, 602, 2846, 16089, 430, 602, 3287, 956, 13"
"438, 1457, 602, 2846, 16089, 430, 602, 3287, 956, 13","35734, 596, 430, 30"
"35734, 596, 430, 30","64, 8952, 374, 279, 1455, 11660, 2035, 304, 279, 1917, 13"
"64, 8952, 374, 279, 1455, 11660, 2035, 304, 279, 1917, 13","2319, 11, 10035, 11, 1606, 315, 682, 279, 25534, 17684, 1026, 13"
"2319, 11, 10035, 11, 1606, 315, 682, 279, 25534, 17684, 1026, 13","333, 499, 2351, 264, 7941, 10896, 11, 499, 4822, 3201, 505, 24461, 13"
"333, 499, 2351, 264, 7941, 10896, 11, 499, 4822, 3201, 505, 24461, 13","9891, 11, 279, 7941, 16410, 527, 1884, 11333, 3754, 16410, 33895, 2345, 2201, 24461, 11, 912, 6978, 13"
"72, 1390, 311, 387, 264, 8232, 19115, 994, 602, 3139, 709, 13","35734, 30"
"35734, 30","28753, 499, 636, 311, 3449, 264, 2763, 315, 1274, 13"
"28753, 499, 636, 311, 3449, 264, 2763, 315, 1274, 13","9514, 2771, 656, 13"
"9514, 2771, 656, 13","438, 499, 636, 264, 2763, 315, 10368, 1475, 1938, 13"
"438, 499, 636, 264, 2763, 315, 10368, 1475, 1938, 13","9210, 596, 279, 8206, 13"
"9210, 596, 279, 8206, 13","438, 499, 636, 311, 1514, 449, 264, 2763, 315, 12875, 13"
"438, 499, 636, 311, 1514, 449, 264, 2763, 315, 12875, 13","9336, 11, 499, 2351, 10171, 311, 387, 3318, 13"
"9336, 11, 499, 2351, 10171, 311, 387, 3318, 13","9891, 11, 719, 602, 690, 2744, 6896, 279, 11919, 12875, 13"
"9891, 11, 719, 602, 690, 2744, 6896, 279, 11919, 12875, 13","12840, 922, 279, 9662, 18260, 12875, 30"
"12840, 922, 279, 9662, 18260, 12875, 30","72, 1781, 422, 499, 527, 11919, 311, 12875, 11, 814, 527, 11919, 311, 499, 13"
"72, 1781, 422, 499, 527, 11919, 311, 12875, 11, 814, 527, 11919, 311, 499, 13","81134, 527, 1093, 1274, 33895, 63938, 682, 315, 1124, 527, 11919, 13"
"72, 1390, 311, 3351, 311, 502, 50672, 13","998, 279, 1614, 477, 279, 3363, 30"
"998, 279, 1614, 477, 279, 3363, 30","998, 279, 3363, 11, 315, 3388, 13"
"998, 279, 3363, 11, 315, 3388, 13","35734, 656, 499, 1390, 311, 3351, 1070, 30"
"35734, 656, 499, 1390, 311, 3351, 1070, 30","28753, 602, 1390, 311, 1304, 264, 2763, 315, 3300, 13"
"28753, 602, 1390, 311, 1304, 264, 2763, 315, 3300, 13","19041, 527, 264, 2763, 315, 8009, 1274, 304, 502, 50672, 13"
"19041, 527, 264, 2763, 315, 8009, 1274, 304, 502, 50672, 13","19041, 2771, 527, 33895, 99563, 3325, 264, 3610, 13"
"19041, 2771, 527, 33895, 99563, 3325, 264, 3610, 13","708, 1268, 656, 499, 3197, 311, 3719, 9257, 30"
"708, 1268, 656, 499, 3197, 311, 3719, 9257, 30","72, 690, 14459, 389, 279, 14365, 315, 682, 279, 25341, 13"
"72, 690, 14459, 389, 279, 14365, 315, 682, 279, 25341, 13","9210, 2834, 956, 1304, 499, 9257, 13, 19093, 690, 3137, 311, 499, 13"
"9210, 2834, 956, 1304, 499, 9257, 13, 19093, 690, 3137, 311, 499, 13","72, 690, 2567, 50244, 389, 14365, 13"
"72, 690, 2567, 50244, 389, 14365, 13","543, 499, 690, 636, 374, 36366, 1168, 84796, 13"
"72, 3021, 77852, 13","2727, 2288, 13"
"2727, 2288, 13","72, 6118, 8343, 264, 4382, 33566, 13"
"72, 6118, 8343, 264, 4382, 33566, 13","12840, 656, 499, 2231, 304, 433, 30"
"12840, 656, 499, 2231, 304, 433, 30","4345, 71655, 11, 42120, 11, 323, 70121, 13"
"4345, 71655, 11, 42120, 11, 323, 70121, 13","9210, 596, 433, 30"
"9210, 596, 433, 30","72, 923, 1063, 25349, 323, 12290, 13"
"72, 923, 1063, 25349, 323, 12290, 13","72, 2744, 2231, 17604, 304, 856, 77852, 13"
"72, 2744, 2231, 17604, 304, 856, 77852, 13","9891, 11, 17604, 374, 6555, 13"
"9891, 11, 17604, 374, 6555, 13","12840, 3169, 315, 32623, 656, 499, 1005, 30"
"12840, 3169, 315, 32623, 656, 499, 1005, 30","72, 5019, 10283, 315, 42293, 32623, 389, 1948, 13"
"72, 5019, 10283, 315, 42293, 32623, 389, 1948, 13","2727, 2288, 13, 42293, 32623, 374, 779, 18406, 0, 889, 34672, 922, 25247, 30"
"72, 3021, 17604, 13","2727, 2288, 13"
"2727, 2288, 13","2940, 1587, 17604, 2586, 505, 30"
"2940, 1587, 17604, 2586, 505, 30","275, 4131, 505, 46266, 13"
"275, 4131, 505, 46266, 13","708, 584, 636, 17604, 505, 46266, 11, 323, 584, 636, 14403, 11, 2288, 30"
"708, 584, 636, 17604, 505, 46266, 11, 323, 584, 636, 14403, 11, 2288, 30","9891, 11, 584, 656, 13"
"9891, 11, 584, 656, 13","12840, 775, 656, 584, 636, 505, 46266, 30"
"12840, 775, 656, 584, 636, 505, 46266, 30","906, 636, 57947, 388, 323, 50059, 13"
"906, 636, 57947, 388, 323, 50059, 13","2319, 11, 430, 596, 779, 18406, 13"
"2319, 11, 430, 596, 779, 18406, 13","906, 1101, 636, 18012, 13"
"906, 1101, 636, 18012, 13","906, 636, 264, 2763, 315, 2574, 505, 46266, 11, 1541, 956, 584, 30"
"906, 636, 264, 2763, 315, 2574, 505, 46266, 11, 1541, 956, 584, 30","9891, 13, 264, 19923, 374, 893, 596, 1888, 4333, 13"
"72, 1511, 311, 990, 304, 264, 1624, 72, 13","5269, 1550, 499, 1093, 433, 30"
"5269, 1550, 499, 1093, 433, 30","72, 10456, 433, 0"
"72, 10456, 433, 0","23770, 499, 636, 1949, 3691, 30"
"23770, 499, 636, 1949, 3691, 30","72, 30912, 1949, 17604, 323, 13339, 1475, 1938, 13"
"72, 30912, 1949, 17604, 323, 13339, 1475, 1938, 13","9210, 10578, 1093, 264, 2294, 2683, 13"
"9210, 10578, 1093, 264, 2294, 2683, 13","69386, 264, 6130, 11713, 11, 602, 48715, 1022, 264, 2697, 810, 369, 757, 13"
"69386, 264, 6130, 11713, 11, 602, 48715, 1022, 264, 2697, 810, 369, 757, 13","23770, 499, 636, 8834, 30"
"23770, 499, 636, 8834, 30","2201, 11, 719, 602, 1550, 2231, 389, 264, 2478, 16701, 13"
"2201, 11, 719, 602, 1550, 2231, 389, 264, 2478, 16701, 13","9210, 10578, 1093, 264, 8063, 2683, 13"
"9210, 10578, 1093, 264, 8063, 2683, 13","275, 574, 11, 3156, 832, 1938, 856, 6783, 10791, 757, 13"
"275, 574, 11, 3156, 832, 1938, 856, 6783, 10791, 757, 13","2201, 810, 1949, 17604, 369, 499, 11, 57843, 30"
"72, 2846, 389, 264, 502, 10173, 13","12840, 527, 499, 12459, 1457, 30"
"12840, 527, 499, 12459, 1457, 30","72, 30975, 505, 37547, 311, 35267, 13"
"72, 30975, 505, 37547, 311, 35267, 13","35734, 1550, 499, 656, 430, 30"
"35734, 1550, 499, 656, 430, 30","79, 14635, 374, 15590, 3691, 13, 35267, 527, 5933, 3691, 13"
"79, 14635, 374, 15590, 3691, 13, 35267, 527, 5933, 3691, 13","53980, 3691, 706, 810, 46192, 13"
"53980, 3691, 706, 810, 46192, 13","438, 433, 596, 1120, 439, 4228, 311, 10772, 13"
"438, 433, 596, 1120, 439, 4228, 311, 10772, 13","5269, 656, 499, 10772, 279, 35267, 30"
"5269, 656, 499, 10772, 279, 35267, 30","72, 11623, 1124, 11, 323, 1243, 20930, 1124, 369, 220, 868, 4520, 13"
"72, 11623, 1124, 11, 323, 1243, 20930, 1124, 369, 220, 868, 4520, 13","9210, 596, 5128, 4382, 13"
"9210, 596, 5128, 4382, 13","3473, 602, 923, 14432, 11, 12290, 11, 323, 25349, 13"
"3473, 602, 923, 14432, 11, 12290, 11, 323, 25349, 13","4919, 602, 617, 682, 1884, 43732, 315, 42120, 19737, 499, 11021, 369, 701, 37547, 30"
"2465, 23601, 596, 3450, 2751, 13088, 520, 757, 520, 279, 14177, 2007, 13","35734, 574, 430, 30"
"35734, 574, 430, 30","72, 51798, 839, 12290, 323, 25349, 389, 279, 3691, 1603, 602, 61580, 433, 13"
"72, 51798, 839, 12290, 323, 25349, 389, 279, 3691, 1603, 602, 61580, 433, 13","12840, 596, 279, 5030, 449, 430, 30"
"12840, 596, 279, 5030, 449, 430, 30","1964, 3450, 374, 264, 2294, 4394, 13"
"1964, 3450, 374, 264, 2294, 4394, 13","708, 11, 264, 2697, 12290, 323, 25349, 2646, 13194, 4205, 13"
"708, 11, 264, 2697, 12290, 323, 25349, 2646, 13194, 4205, 13","275, 13194, 1077, 16024, 13"
"275, 13194, 1077, 16024, 13","2319, 13"
"2319, 13","72, 58077, 311, 1077, 11, 719, 602, 1436, 3371, 1364, 574, 2103, 23268, 13"
"72, 58077, 311, 1077, 11, 719, 602, 1436, 3371, 1364, 574, 2103, 23268, 13","37860, 499, 13434, 956, 8343, 1070, 1578, 13"
"37860, 499, 13434, 956, 8343, 1070, 1578, 13","72, 2846, 2771, 4395, 690, 387, 17339, 304, 264, 1938, 477, 1403, 13"
"72, 2846, 2771, 4395, 690, 387, 17339, 304, 264, 1938, 477, 1403, 13","275, 596, 701, 23601, 596, 14867, 13, 1364, 1288, 617, 19201, 499, 13"
"72, 8343, 279, 1890, 3245, 1475, 1938, 13","9514, 2351, 56825, 13"
"9514, 2351, 56825, 13","2201, 11, 602, 2846, 6129, 13"
"2201, 11, 602, 2846, 6129, 13","73014, 956, 430, 636, 2362, 30"
"73014, 956, 430, 636, 2362, 30","2201, 11, 1606, 602, 2846, 12459, 3691, 430, 602, 1093, 13"
"2201, 11, 1606, 602, 2846, 12459, 3691, 430, 602, 1093, 13","8248, 279, 1890, 3245, 1938, 1306, 1938, 5334, 2362, 13"
"8248, 279, 1890, 3245, 1938, 1306, 1938, 5334, 2362, 13","9336, 11, 602, 8101, 422, 433, 3596, 1587, 636, 2362, 11, 602, 3358, 2349, 311, 2555, 2204, 13"
"9336, 11, 602, 8101, 422, 433, 3596, 1587, 636, 2362, 11, 602, 3358, 2349, 311, 2555, 2204, 13","3055, 499, 8343, 26390, 323, 24822, 1475, 1938, 30"
"3055, 499, 8343, 26390, 323, 24822, 1475, 1938, 30","2201, 11, 602, 12491, 24822, 13"
"2201, 11, 602, 12491, 24822, 13","8248, 499, 8343, 26390, 13"
"8248, 499, 8343, 26390, 13","72, 8343, 1403, 41776, 11, 832, 44196, 11, 323, 832, 19087, 1475, 1938, 13"
"72, 8343, 1403, 41776, 11, 832, 44196, 11, 323, 832, 19087, 1475, 1938, 13","9336, 11, 1070, 596, 4400, 5076, 449, 430, 13"
"19041, 596, 2555, 5076, 449, 856, 19087, 13","12840, 596, 5076, 30"
"12840, 596, 5076, 30","275, 596, 539, 19087, 0"
"275, 596, 539, 19087, 0","22479, 19087, 4536, 956, 19087, 30"
"22479, 19087, 4536, 956, 19087, 30","2201, 11, 433, 596, 6453, 18718, 0"
"2201, 11, 433, 596, 6453, 18718, 0","548, 499, 2771, 30, 602, 2646, 6755, 315, 1778, 264, 3245, 13"
"548, 499, 2771, 30, 602, 2646, 6755, 315, 1778, 264, 3245, 13","72, 1120, 83612, 433, 11, 323, 602, 2846, 3411, 520, 433, 1314, 1457, 13"
"72, 1120, 83612, 433, 11, 323, 602, 2846, 3411, 520, 433, 1314, 1457, 13","1169, 757, 1518, 13, 10035, 11, 499, 2351, 1314, 13, 701, 19087, 374, 18718, 13"
"1169, 757, 1518, 13, 10035, 11, 499, 2351, 1314, 13, 701, 19087, 374, 18718, 13","14965, 3596, 6755, 315, 1778, 264, 3245, 30"
"14965, 3596, 6755, 315, 1778, 264, 3245, 30","2319, 11, 1427, 13, 1618, 596, 279, 2697, 47277, 430, 574, 389, 433, 13, 433, 596, 2663, 264, 18718, 308, 3963, 13"
"2319, 11, 1427, 13, 1618, 596, 279, 2697, 47277, 430, 574, 389, 433, 13, 433, 596, 2663, 264, 18718, 308, 3963, 13","12840, 374, 420, 1917, 5108, 311, 30"
"12840, 374, 420, 1917, 5108, 311, 30","14965, 8964, 30, 7344, 5246, 584, 3358, 617, 18718, 68442, 13"
"72, 3021, 90177, 13","2727, 11, 2288, 13, 602, 3021, 1124, 54662, 323, 12290, 291, 13"
"2727, 11, 2288, 13, 602, 3021, 1124, 54662, 323, 12290, 291, 13","72, 3021, 66185, 90177, 13"
"72, 3021, 66185, 90177, 13","754, 2230, 30, 602, 2646, 6755, 315, 430, 13"
"754, 2230, 30, 602, 2646, 6755, 315, 430, 13","4345, 44790, 7257, 90177, 304, 12290, 3090, 3156, 279, 44054, 527, 8579, 13"
"4345, 44790, 7257, 90177, 304, 12290, 3090, 3156, 279, 44054, 527, 8579, 13","72, 3358, 617, 311, 1456, 1124, 36113, 13"
"72, 3358, 617, 311, 1456, 1124, 36113, 13","20670, 2351, 1888, 994, 814, 2351, 4106, 13"
"20670, 2351, 1888, 994, 814, 2351, 4106, 13","2465, 10868, 374, 57596, 311, 90177, 13"
"2465, 10868, 374, 57596, 311, 90177, 13","9210, 596, 539, 1695, 13"
"9210, 596, 539, 1695, 13","2201, 11, 433, 4536, 956, 13, 568, 4661, 8636, 994, 568, 574, 2697, 13"
"2201, 11, 433, 4536, 956, 13, 568, 4661, 8636, 994, 568, 574, 2697, 13","72, 8101, 568, 706, 311, 387, 1633, 16994, 922, 1148, 568, 50777, 13"
"72, 8101, 568, 706, 311, 387, 1633, 16994, 922, 1148, 568, 50777, 13","383, 706, 264, 1633, 7452, 10173, 13"
"72, 2846, 30240, 4785, 13","5269, 1790, 617, 499, 18661, 30"
"5269, 1790, 617, 499, 18661, 30","28956, 16701, 1120, 420, 2305, 13"
"28956, 16701, 1120, 420, 2305, 13","3055, 499, 1440, 3249, 30"
"3055, 499, 1440, 3249, 30","72, 1781, 433, 596, 279, 10054, 12932, 13"
"72, 1781, 433, 596, 279, 10054, 12932, 13","9514, 3940, 12459, 10054, 12932, 30"
"9514, 3940, 12459, 10054, 12932, 30","275, 574, 389, 6412, 13"
"275, 574, 389, 6412, 13","5269, 1790, 1550, 499, 3780, 30"
"5269, 1790, 1550, 499, 3780, 30","72, 10409, 709, 856, 50685, 449, 10054, 12932, 13"
"72, 10409, 709, 856, 50685, 449, 10054, 12932, 13","9336, 11, 433, 2834, 956, 1566, 16058, 13"
"9336, 11, 433, 2834, 956, 1566, 16058, 13","2201, 11, 602, 7216, 602, 3358, 6381, 433, 682, 555, 1828, 2046, 13"
"2201, 11, 602, 7216, 602, 3358, 6381, 433, 682, 555, 1828, 2046, 13","3473, 499, 649, 1212, 13490, 4785, 11, 422, 1070, 4536, 956, 2500, 6412, 13"
"72, 2846, 45413, 13","1073, 3388, 499, 527, 13, 499, 30912, 4395, 389, 279, 2007, 13"
"1073, 3388, 499, 527, 13, 499, 30912, 4395, 389, 279, 2007, 13","72, 1541, 956, 1093, 311, 8343, 93267, 13"
"72, 1541, 956, 1093, 311, 8343, 93267, 13","72, 2846, 16089, 311, 6865, 1070, 596, 2555, 499, 1541, 956, 1093, 311, 8343, 13"
"72, 2846, 16089, 311, 6865, 1070, 596, 2555, 499, 1541, 956, 1093, 311, 8343, 13","72, 1093, 856, 3691, 4106, 323, 7878, 13"
"72, 1093, 856, 3691, 4106, 323, 7878, 13","9514, 1093, 311, 1518, 433, 32153, 13"
"9514, 1093, 311, 1518, 433, 32153, 13","72, 1541, 956, 1093, 433, 48306, 660, 13"
"72, 1541, 956, 1093, 433, 48306, 660, 13","9336, 11, 499, 3358, 617, 4106, 7878, 3691, 16986, 3814, 13"
"9336, 11, 499, 3358, 617, 4106, 7878, 3691, 16986, 3814, 13","72, 2846, 779, 2539, 602, 2846, 2133, 311, 21165, 13"
"72, 2846, 779, 2539, 602, 2846, 2133, 311, 21165, 13","9514, 1288, 83842, 701, 19671, 13"
"9514, 1288, 83842, 701, 19671, 13","72, 2736, 46050, 6901, 856, 19671, 323, 653, 2208, 291, 856, 25567, 13"
"72, 2736, 46050, 6901, 856, 19671, 323, 653, 2208, 291, 856, 25567, 13","9336, 11, 1541, 956, 2559, 709, 11, 4587, 13"
"72, 5602, 1148, 499, 1550, 13","72, 3287, 956, 656, 4205, 13"
"72, 3287, 956, 656, 4205, 13","2319, 10035, 11, 499, 1550, 13"
"2319, 10035, 11, 499, 1550, 13","12840, 527, 499, 7556, 922, 30"
"12840, 527, 499, 7556, 922, 30","9514, 1440, 1148, 602, 2846, 7556, 922, 13"
"9514, 1440, 1148, 602, 2846, 7556, 922, 13","72, 1541, 956, 617, 904, 4623, 13"
"72, 1541, 956, 617, 904, 4623, 13","9514, 1440, 1148, 499, 1550, 13"
"9514, 1440, 1148, 499, 1550, 13","37860, 602, 1440, 11, 719, 1268, 1436, 499, 1440, 30"
"37860, 602, 1440, 11, 719, 1268, 1436, 499, 1440, 30","28753, 602, 574, 10307, 499, 13"
"28753, 602, 574, 10307, 499, 13","94317, 11, 602, 2846, 14931, 602, 1550, 433, 13"
"94317, 11, 602, 2846, 14931, 602, 1550, 433, 13","15357, 956, 7172, 14403, 704, 315, 279, 7558, 263, 13, 1005, 264, 9168, 0"
"15357, 956, 7172, 14403, 704, 315, 279, 7558, 263, 13, 1005, 264, 9168, 0","72, 11471, 602, 3358, 2646, 7172, 704, 315, 279, 7558, 263, 1578, 13"
"72, 1093, 430, 15845, 13","708, 656, 602, 13"
"708, 656, 602, 13","5269, 1790, 374, 433, 30"
"5269, 1790, 374, 433, 30","72, 1541, 956, 1440, 13, 279, 4877, 374, 7554, 13"
"72, 1541, 956, 1440, 13, 279, 4877, 374, 7554, 13","1091, 279, 45357, 13"
"1091, 279, 45357, 13","72, 690, 13"
"72, 690, 13","2319, 11, 1427, 13, 1618, 596, 2500, 15845, 1120, 1093, 433, 13"
"2319, 11, 1427, 13, 1618, 596, 2500, 15845, 1120, 1093, 433, 13","28156, 433, 617, 264, 3430, 4877, 30"
"28156, 433, 617, 264, 3430, 4877, 30","9891, 11, 433, 1587, 13, 433, 596, 1193, 400, 508, 13"
"9891, 11, 433, 1587, 13, 433, 596, 1193, 400, 508, 13","9210, 596, 264, 2294, 3430, 13"
"9210, 596, 264, 2294, 3430, 13","72, 1781, 602, 3358, 3780, 2225, 315, 1124, 13"
"72, 1781, 602, 3358, 3780, 2225, 315, 1124, 13","9514, 4265, 2731, 1456, 1124, 389, 1176, 13"
"72, 11021, 499, 264, 6857, 315, 25567, 13","58517, 499, 13"
"58517, 499, 13","72, 3987, 814, 5052, 13"
"72, 3987, 814, 5052, 13","72, 3987, 499, 8774, 279, 23383, 13"
"72, 3987, 499, 8774, 279, 23383, 13","9514, 1781, 814, 2834, 956, 5052, 30"
"9514, 1781, 814, 2834, 956, 5052, 30","72, 1781, 602, 3077, 2231, 389, 1063, 4785, 13"
"72, 1781, 602, 3077, 2231, 389, 1063, 4785, 13","9514, 1781, 30"
"9514, 1781, 30","37860, 264, 31123, 477, 1403, 13"
"37860, 264, 31123, 477, 1403, 13","37860, 3116, 477, 4330, 16701, 30"
"37860, 3116, 477, 4330, 16701, 30","2465, 29142, 374, 11493, 1109, 433, 574, 13"
"2465, 29142, 374, 11493, 1109, 433, 574, 13","2201, 3575, 13, 1521, 25567, 617, 459, 36573, 29142, 7198, 13"
"2201, 3575, 13, 1521, 25567, 617, 459, 36573, 29142, 7198, 13","9514, 527, 779, 7941, 0"
"12840, 656, 584, 1205, 311, 3780, 30","1169, 757, 1427, 520, 1057, 1160, 13"
"1169, 757, 1427, 520, 1057, 1160, 13","72, 1440, 430, 584, 1205, 14403, 13"
"72, 1440, 430, 584, 1205, 14403, 13","6414, 45283, 13"
"6414, 45283, 13","1073, 3388, 13, 1148, 775, 30"
"1073, 3388, 13, 1148, 775, 30","906, 1205, 17604, 11, 16385, 11, 323, 13824, 13"
"906, 1205, 17604, 11, 16385, 11, 323, 13824, 13","12840, 3169, 315, 17604, 30"
"12840, 3169, 315, 17604, 30","2332, 1056, 13"
"2332, 1056, 13","1073, 3388, 11, 279, 17604, 449, 20349, 304, 433, 13"
"1073, 3388, 11, 279, 17604, 449, 20349, 304, 433, 13","72, 2646, 1511, 311, 3780, 2064, 1056, 17604, 13"
"72, 2646, 1511, 311, 3780, 2064, 1056, 17604, 13","35734, 539, 30"
"35734, 539, 30","72, 3287, 956, 1390, 311, 2343, 369, 279, 20349, 13"
"72, 1205, 1063, 25567, 13","72, 3463, 499, 1120, 11021, 264, 6857, 13"
"72, 3463, 499, 1120, 11021, 264, 6857, 13","72, 1550, 13"
"72, 1550, 13","12840, 596, 5076, 449, 1124, 779, 5246, 30"
"12840, 596, 5076, 449, 1124, 779, 5246, 30","1820, 25567, 527, 7060, 11, 719, 279, 18301, 706, 264, 6908, 14512, 304, 433, 13"
"1820, 25567, 527, 7060, 11, 719, 279, 18301, 706, 264, 6908, 14512, 304, 433, 13","9514, 13434, 956, 6920, 701, 7039, 323, 23423, 304, 701, 18301, 13"
"9514, 13434, 956, 6920, 701, 7039, 323, 23423, 304, 701, 18301, 13","8248, 430, 596, 1148, 30278, 527, 369, 13"
"8248, 430, 596, 1148, 30278, 527, 369, 13","9514, 1288, 6920, 1124, 304, 264, 53101, 13"
"9514, 1288, 6920, 1124, 304, 264, 53101, 13","72, 2846, 264, 893, 11, 323, 3026, 1541, 956, 6920, 10037, 288, 0"
"72, 2846, 264, 893, 11, 323, 3026, 1541, 956, 6920, 10037, 288, 0","9336, 11, 499, 1288, 3780, 25567, 449, 16643, 30278, 13"
"9336, 11, 499, 1288, 3780, 25567, 449, 16643, 30278, 13","72, 1053, 422, 602, 1436, 1505, 4423, 889, 3727, 3831, 30278, 13"
"72, 1053, 422, 602, 1436, 1505, 4423, 889, 3727, 3831, 30278, 13","1568, 264, 11819, 2778, 2930, 13"
"12840, 527, 1884, 84638, 369, 30","9514, 1005, 1124, 311, 40194, 279, 3790, 315, 279, 12185, 7558, 13"
